ensembl_gene_id	ensembl_transcript_id	rgd_symbol	entrezgene_id
ENSRNOG00000057529	ENSRNOT00000077895		
ENSRNOG00000059291	ENSRNOT00000088361		
ENSRNOG00000027833	ENSRNOT00000090152	Fnip2	310538
ENSRNOG00000027833	ENSRNOT00000038543	Fnip2	310538
ENSRNOG00000056690	ENSRNOT00000077097		
ENSRNOG00000061662	ENSRNOT00000084684		
ENSRNOG00000011623	ENSRNOT00000015871	Rab3c	171058
ENSRNOG00000011623	ENSRNOT00000086851	Rab3c	171058
ENSRNOG00000058404	ENSRNOT00000091804		
ENSRNOG00000060857	ENSRNOT00000081809		
ENSRNOG00000020563	ENSRNOT00000067539	Cma1	25627
ENSRNOG00000053530	ENSRNOT00000080112		
ENSRNOG00000035491	ENSRNOT00000053614	Mir137	
ENSRNOG00000058186	ENSRNOT00000085315		313729
ENSRNOG00000045688	ENSRNOT00000072197		
ENSRNOG00000060405	ENSRNOT00000087476		
ENSRNOG00000050724	ENSRNOT00000056486	LOC102552128	
ENSRNOG00000055744	ENSRNOT00000092215		
ENSRNOG00000019780	ENSRNOT00000026883	Sypl2	362018
ENSRNOG00000061929	ENSRNOT00000079757		
ENSRNOG00000058638	ENSRNOT00000086855		
ENSRNOG00000049075	ENSRNOT00000075493	Fabp5	140868
ENSRNOG00000049869	ENSRNOT00000071279	LOC103694737	103694737
ENSRNOG00000049869	ENSRNOT00000071279	LOC103694737	103694745
ENSRNOG00000009574	ENSRNOT00000012684	Crct1	
ENSRNOG00000060159	ENSRNOT00000090294		
ENSRNOG00000060042	ENSRNOT00000084190		
ENSRNOG00000038965	ENSRNOT00000015146	LOC100362724	
ENSRNOG00000060629	ENSRNOT00000089125		103694855
ENSRNOG00000056354	ENSRNOT00000080766		
ENSRNOG00000023365	ENSRNOT00000036228		
ENSRNOG00000018413	ENSRNOT00000024932	Per3	78962
ENSRNOG00000059800	ENSRNOT00000080157		
ENSRNOG00000036420	ENSRNOT00000054532		
ENSRNOG00000050700	ENSRNOT00000074085		
ENSRNOG00000018825	ENSRNOT00000077584	Dcaf11	305895
ENSRNOG00000018825	ENSRNOT00000059987	Dcaf11	305895
ENSRNOG00000004118	ENSRNOT00000039796	Frmpd4	302656
ENSRNOG00000058175	ENSRNOT00000086840		
ENSRNOG00000055923	ENSRNOT00000080330		
ENSRNOG00000035499	ENSRNOT00000053622	Mir124-2	
ENSRNOG00000052755	ENSRNOT00000087104		
ENSRNOG00000049917	ENSRNOT00000071149		
ENSRNOG00000014000	ENSRNOT00000019189	Kif2a	84391
ENSRNOG00000016408	ENSRNOT00000077375	Kirrel	310695
ENSRNOG00000016408	ENSRNOT00000031743	Kirrel	310695
ENSRNOG00000026944	ENSRNOT00000029265	Gpr150	499486
ENSRNOG00000052099	ENSRNOT00000085117		103694869
ENSRNOG00000030434	ENSRNOT00000040912	Rs1	100125595
ENSRNOG00000052781	ENSRNOT00000079076		
ENSRNOG00000022939	ENSRNOT00000039000	Gpkow	679890
ENSRNOG00000019789	ENSRNOT00000026819	Tssk4	290229
ENSRNOG00000050081	ENSRNOT00000074439		
