x
1;ENSG00000182584
2;ENSG00000174799
3;ENSG00000116691
4;ENSG00000149609
5;ENSG00000110104
6;ENSG00000268163
7;ENSG00000121236
8;ENSG00000121236
9;ENSG00000121236
10;ENSG00000140807
11;ENSG00000140807
12;ENSG00000163938
13;ENSG00000163645
14;ENSG00000276975
15;ENSG00000276975
16;ENSG00000276975
17;ENSG00000276975
18;ENSG00000276975
19;ENSG00000276975
20;ENSG00000276975
21;ENSG00000276975
22;ENSG00000276975
23;ENSG00000276975
24;ENSG00000276975
25;ENSG00000100926
26;ENSG00000100926
27;ENSG00000100926
28;ENSG00000100926
29;ENSG00000114107
30;ENSG00000262497
31;ENSG00000240478
32;ENSG00000256294
33;ENSG00000144908
34;ENSG00000168917
35;ENSG00000103404
36;ENSG00000107779
37;ENSG00000254206
38;ENSG00000254206
39;ENSG00000254206
40;ENSG00000254206
41;ENSG00000102265
42;ENSG00000150977
43;ENSG00000150977
44;ENSG00000171421
45;ENSG00000147604
46;ENSG00000110324
47;ENSG00000061676
48;ENSG00000244681
49;ENSG00000132781
50;ENSG00000132781
51;ENSG00000174226
52;ENSG00000175497
53;ENSG00000175497
54;ENSG00000109079
55;ENSG00000187258
56;ENSG00000187258
57;ENSG00000187258
58;ENSG00000138750
59;ENSG00000138750
60;ENSG00000148357
61;ENSG00000164796
62;ENSG00000164796
63;ENSG00000164796
64;ENSG00000278259
65;ENSG00000278259
66;ENSG00000187736
67;ENSG00000148832
68;ENSG00000148832
69;ENSG00000148832
70;ENSG00000102181
71;ENSG00000102181
72;ENSG00000225424
73;ENSG00000189149
74;ENSG00000241973
75;ENSG00000241973
76;ENSG00000241973
77;ENSG00000149179
78;ENSG00000149179
79;ENSG00000149179
80;ENSG00000171984
81;ENSG00000154309
82;ENSG00000214107
83;ENSG00000214107
84;ENSG00000165280
85;ENSG00000165280
86;ENSG00000143379
87;ENSG00000257283
88;ENSG00000109184
89;ENSG00000109184
90;ENSG00000168389
91;ENSG00000198580
92;ENSG00000175741
93;ENSG00000144554
94;ENSG00000144554
95;ENSG00000144554
96;ENSG00000226220
97;ENSG00000171786
98;ENSG00000280405
99;ENSG00000169862
100;ENSG00000254219
101;ENSG00000158473
102;ENSG00000162576
103;ENSG00000162576
104;ENSG00000197165
105;ENSG00000197165
106;ENSG00000197165
107;ENSG00000197165
108;ENSG00000163607
