ENST00000493259	HGNC:15740
ENST00000486598	HGNC:15740
ENST00000488025	HGNC:15740
ENST00000445470	HGNC:15740
ENST00000626496	HGNC:13759
ENST00000625601	HGNC:13759
ENST00000625276	HGNC:13759
ENST00000628954	HGNC:13759
ENST00000630629	HGNC:13759
ENST00000628956	HGNC:13759
ENST00000626546	HGNC:13759
ENST00000627204	HGNC:13759
ENST00000627013	HGNC:13759
ENST00000628747	HGNC:13759
ENST00000630158	HGNC:13759
ENST00000627816	HGNC:13759
ENST00000419735	HGNC:22210
ENST00000477775	HGNC:22210
ENST00000484475	HGNC:22210
ENST00000474433	HGNC:22210
ENST00000472195	HGNC:22210
ENST00000472910	HGNC:22210
ENST00000485652	HGNC:22210
ENST00000318724	HGNC:22210
ENST00000478915	HGNC:22210
ENST00000481880	HGNC:22210
ENST00000464874	HGNC:22210
ENST00000254691	HGNC:16394
ENST00000381677	HGNC:16394
ENST00000430303	HGNC:19264
ENST00000417052	HGNC:19264
ENST00000479276	HGNC:19264
ENST00000490707	HGNC:19264
ENST00000479089	HGNC:19264
ENST00000381968	HGNC:19264
ENST00000464897	HGNC:19264
ENST00000475245	HGNC:19264
ENST00000381978	HGNC:19264
ENST00000341958	HGNC:19264
ENST00000424556	HGNC:19264
ENST00000482118	HGNC:19264
ENST00000483280	HGNC:19264
ENST00000494431	HGNC:19264
ENST00000628644	HGNC:27386
ENST00000627921	HGNC:27386
ENST00000626553	HGNC:27386
ENST00000635054	HGNC:27386
ENST00000600516	HGNC:27386
ENST00000428520	HGNC:27386
ENST00000441855	HGNC:27386
ENST00000634614	HGNC:27386
ENST00000635670	HGNC:27386
ENST00000634224	HGNC:27386
ENST00000596092	HGNC:27386
ENST00000601050	HGNC:27386
ENST00000619619	HGNC:27386
ENST00000617890	HGNC:27386
ENST00000618245	HGNC:27386
ENST00000622401	HGNC:27386
ENST00000615861	HGNC:27386
ENST00000613357	HGNC:27386
ENST00000450174	HGNC:27386
ENST00000598573	HGNC:27386
ENST00000563017	HGNC:39980
ENST00000555133	HGNC:1189
ENST00000216479	HGNC:1189
ENST00000535854	HGNC:1189
ENST00000554156	HGNC:1189
ENST00000555517	HGNC:1189
ENST00000556963	HGNC:1189
ENST00000556866	HGNC:1189
ENST00000553374	HGNC:1189
ENST00000555457	HGNC:1189
ENST00000555729	HGNC:1189
ENST00000555473	HGNC:1189
ENST00000556369	HGNC:1189
ENST00000557476	HGNC:1189
ENST00000367069	HGNC:21054
ENST00000607398	HGNC:21054
ENST00000449822	HGNC:21054
ENST00000252655	HGNC:21054
ENST00000569537	
ENST00000467050	
ENST00000609207	
ENST00000417705	
ENST00000432961	
ENST00000399411	HGNC:50850
ENST00000356725	HGNC:33114
ENST00000528994	HGNC:33114
ENST00000586323	HGNC:33114
ENST00000525288	HGNC:33114
ENST00000527645	HGNC:33114
ENST00000613249	HGNC:33114
ENST00000614179	HGNC:33114
ENST00000615484	HGNC:33114
ENST00000589932	
ENST00000412563	
ENST00000413955	HGNC:35756
ENST00000573680	HGNC:13579
ENST00000575821	HGNC:13579
ENST00000611190	HGNC:13579
ENST00000575419	HGNC:13579
ENST00000574159	HGNC:13579
ENST00000513396	HGNC:39425
ENST00000416668	HGNC:48661
ENST00000420922	HGNC:48661
ENST00000420128	HGNC:48661
ENST00000622774	HGNC:48661
ENST00000619986	
ENST00000267406	HGNC:20146
ENST00000555436	HGNC:20146
ENST00000576271	
ENST00000611311	HGNC:6336
ENST00000510449	HGNC:40935
ENST00000568156	HGNC:42417
ENST00000329806	
ENST00000296438	HGNC:20729
ENST00000436231	HGNC:20729
ENST00000445170	HGNC:20729
ENST00000415155	HGNC:20729
ENST00000477542	HGNC:20729
ENST00000468158	HGNC:20729
ENST00000458151	
ENST00000504369	HGNC:43435
ENST00000435600	HGNC:8395
ENST00000404273	
ENST00000603236	
ENST00000514791	
ENST00000436203	
ENST00000510439	HGNC:27256
ENST00000512109	HGNC:27256
ENST00000515814	HGNC:27256
ENST00000379674	HGNC:27256
ENST00000422563	HGNC:27256
ENST00000411943	
ENST00000514578	
ENST00000506124	HGNC:43712
ENST00000494882	
ENST00000217428	HGNC:11248
ENST00000281382	HGNC:8962
ENST00000482786	HGNC:8962
ENST00000420164	HGNC:8962
ENST00000306465	HGNC:8962
ENST00000412717	HGNC:8962
ENST00000495933	HGNC:8962
ENST00000474980	HGNC:8962
ENST00000624484	
ENST00000504491	HGNC:29239
ENST00000335251	HGNC:29239
ENST00000503626	HGNC:29239
ENST00000503952	HGNC:29239
ENST00000504276	HGNC:29239
ENST00000506283	HGNC:29239
ENST00000512995	HGNC:29239
ENST00000510766	HGNC:29239
ENST00000612610	
ENST00000623960	
ENST00000623903	
ENST00000623795	
ENST00000620481	
ENST00000596731	HGNC:30203
ENST00000222190	HGNC:30203
ENST00000598732	HGNC:30203
ENST00000600694	HGNC:30203
ENST00000267843	HGNC:3685
ENST00000560270	HGNC:3685
ENST00000560765	HGNC:3685
ENST00000560979	HGNC:3685
ENST00000560704	HGNC:3685
ENST00000614567	HGNC:3685
ENST00000584626	
ENST00000428093	
ENST00000447461	
ENST00000528138	HGNC:21479
ENST00000525483	HGNC:21479
ENST00000533950	HGNC:21479
ENST00000528162	HGNC:21479
ENST00000296955	HGNC:21479
ENST00000338728	HGNC:21479
ENST00000533453	HGNC:21479
ENST00000481630	HGNC:21479
ENST00000424717	HGNC:21479
ENST00000534777	HGNC:21479
ENST00000478345	HGNC:21479
ENST00000487076	HGNC:21479
ENST00000382398	HGNC:15900
ENST00000542572	HGNC:15900
ENST00000256474	HGNC:12687
ENST00000345392	HGNC:12687
ENST00000477538	HGNC:12687
ENST00000496996	HGNC:37010
ENST00000415407	
ENST00000600291	HGNC:6783
ENST00000392213	HGNC:6783
ENST00000361922	HGNC:6783
ENST00000595791	HGNC:6783
ENST00000597035	HGNC:6783
ENST00000537831	HGNC:6783
ENST00000593348	HGNC:6783
ENST00000597162	HGNC:6783
ENST00000430538	HGNC:17220
ENST00000436579	HGNC:10339
ENST00000582507	
ENST00000402247	HGNC:26276
ENST00000407131	HGNC:26276
ENST00000403853	HGNC:26276
ENST00000378494	HGNC:26276
ENST00000454433	HGNC:26276
ENST00000477623	HGNC:26276
ENST00000428929	HGNC:26276
ENST00000428993	HGNC:26276
ENST00000477830	HGNC:26276
ENST00000613618	HGNC:26276
ENST00000421907	
ENST00000567218	HGNC:42414
ENST00000512701	HGNC:23704
ENST00000380853	HGNC:23704
ENST00000507285	HGNC:23704
ENST00000507993	HGNC:23704
ENST00000505732	HGNC:23704
ENST00000582994	HGNC:23704
ENST00000506891	HGNC:23704
ENST00000380850	HGNC:23704
ENST00000297615	HGNC:23704
ENST00000579457	
ENST00000578956	
ENST00000494272	
ENST00000301037	
ENST00000581199	
ENST00000526073	
ENST00000461399	
ENST00000527918	
ENST00000530121	
ENST00000469832	
ENST00000527863	
ENST00000525510	
ENST00000531086	
ENST00000589018	HGNC:29555
ENST00000351218	HGNC:29555
ENST00000514101	HGNC:29555
ENST00000587809	HGNC:29555
ENST00000588979	HGNC:29555
ENST00000477900	HGNC:29555
ENST00000587199	HGNC:29555
ENST00000591444	HGNC:29555
ENST00000589676	HGNC:29555
ENST00000586732	HGNC:29555
ENST00000589789	HGNC:29555
ENST00000392144	HGNC:29555
ENST00000406334	
ENST00000300576	HGNC:32206
ENST00000610261	HGNC:27196
ENST00000608255	HGNC:27196
ENST00000609518	HGNC:27196
ENST00000509152	HGNC:27196
ENST00000502981	HGNC:27196
ENST00000325000	
ENST00000404787	
ENST00000563237	HGNC:35465
ENST00000607036	
ENST00000419943	HGNC:10443
ENST00000405321	
ENST00000338121	HGNC:15808
ENST00000424216	HGNC:15808
ENST00000461789	HGNC:15808
ENST00000477239	HGNC:15808
ENST00000377051	HGNC:15808
ENST00000609556	
ENST00000447049	
ENST00000417577	
ENST00000558411	HGNC:50895
ENST00000560655	HGNC:50895
ENST00000558941	HGNC:50895
ENST00000559212	HGNC:50895
ENST00000435858	
ENST00000570612	
ENST00000504812	HGNC:39865
ENST00000430233	HGNC:10018
ENST00000482708	HGNC:10018
ENST00000531982	
ENST00000526225	
ENST00000623351	
ENST00000624869	
ENST00000607988	
ENST00000609636	
ENST00000609472	
ENST00000610167	
ENST00000434244	
ENST00000630871	
ENST00000626342	
ENST00000626430	
ENST00000628234	
ENST00000616338	
